inst m l GREEDY MH GENETIC HYBRID
74 500 500 66178972 66177230 69515994 66176675
75 500 500 66096245 66092337 69586482 66092307
76 500 500 66094487 66093138 69542647 66093002
77 500 500 66014938 66013105 69591381 66013364
78 500 500 66124748 66122262 69437824 66122140
79 500 500 66040973 66038473 69720673 66037213
80 500 500 66015306 66010110 69500233 66010138
81 500 500 65937460 65934300 69589504 65934334
82 500 500 66093689 66090913 69642556 66088875
83 500 500 66065612 66063021 69504511 66063003
84 500 500 66152658 66148358 69512552 66149022
85 500 500 65991681 65991395 69692288 65989298
86 500 500 66101684 66101220 69660957 66099530
87 500 500 66286429 66285905 69707754 66284318
88 500 500 66108104 66107970 69445530 66105265
89 500 500 66023147 66019859 69705644 66019801
90 500 500 66078939 66077791 69716242 66077956
91 500 500 65915046 65912832 69484905 65912684
92 500 500 66092756 66092402 69590241 66091775
93 500 500 66039947 66037187 69666876 66036793
94 500 500 66042114 66037394 69625312 66037310
95 500 500 65975342 65972863 69696831 65972435
96 500 500 66050826 66047830 69449219 66048030
97 500 500 66208993 66207939 69661733 66207033
98 500 500 66032785 66031637 69769670 66031043
99 500 500 65996965 65995797 69574317 65993745
0 1000 100 5420500 5420050 5552726 5420050
1 1000 100 5398236 5397786 5526034 5397786
2 1000 100 5382492 5381389 5534387 5381389
3 1000 100 5394892 5394349 5529781 5394349
4 1000 100 5381205 5380786 5534813 5380786
5 1000 100 5410399 5410133 5546580 5410133
6 1000 100 5381011 5381011 5529270 5381011
7 1000 100 5401895 5401281 5536924 5401316
8 1000 100 5405903 5405473 5535029 5405473
9 1000 100 5413026 5412737 5553253 5412737
10 1000 100 5397887 5397324 5530720 5397324
11 1000 100 5395109 5394958 5542766 5394958  
12 1000 100 5405674 5404663 5548700 5404663
13 1000 100 5409576 5408723 5549433 5408723
14 1000 100 5375335 5374849 5532367 5374849
15 1000 100 5394674 5394251 5531761 5394251
16 1000 100 5406101 5405875 5528102 5405875
17 1000 100 5406547 5406379 5539180 5406332
18 1000 100 5408165 5407950 5529896 5407950
19 1000 100 5365017 5364998 5527054 5364998
20 1000 100 5409775 5409599 5532662 5409599
21 1000 100 5394165 5394165 5545226 5394165
22 1000 100 5401712 5401305 5538385 5401305
23 1000 100 5395139 5395071 5539115 5395071
24 1000 100 5398555 5398252 5550721 5398252
25 1000 100 5392583 5392505 5529401 5392396
26 1000 100 5405306 5404784 5541954 5404784
27 1000 100 5407603 5407345 5530582 5407345
28 1000 100 5393176 5393044 5546052 5393044
29 1000 100 5379742 5379689 5531429 5379689
30 1000 100 5385976 5385232 5543841 5385232
31 1000 100 5389134 5388785 5534260 5388785
32 1000 100 5418577 5417870 5536347 5417870
33 1000 100 5420187 5419498 5552993 5419498
34 1000 100 5398902 5398251 5518816 5398251
35 1000 100 5389362 5388866 5534980 5388866
36 1000 100 5384752 5384094 5540789 5384094
37 1000 100 5401877 5401470 5526322 5401470
38 1000 100 5411020 5410612 5548894 5410612
39 1000 100 5384658 5384550 5533165 5384550
40 1000 100 5411930 5411586 5516179 5411586
41 1000 100 5393443 5393282 5518786 5393282
42 1000 100 5393537 5393537 5523513 5393537
43 1000 100 5407156 5406482 5538479 5406482
44 1000 100 5417436 5416957 5552956 5416957
45 1000 100 5408992 5408455 5533735 5408455
46 1000 100 5394408 5393592 5534574 5393592
47 1000 100 5393240 5393224 5534944 5393224
48 1000 100 5405737 5405250 5536819 5405250
49 1000 100 5396694 5396135 5539608 5396135
50 1000 100 5409947 5409219 5529586 5409219
51 1000 100 5391379 5391095 5537922 5391095
52 1000 100 5389902 5389902 5532287 5389902
53 1000 100 5412655 5412300 5544332 5412300
54 1000 100 5414788 5414556 5540122 5414556
55 1000 100 5387406 5387316 5550805 5387316
56 1000 100 5382670 5382397 5536049 5382397
57 1000 100 5383750 5383012 5533131 5383012
58 1000 100 5399031 5398516 5508997 5398516
59 1000 100 5405970 5405080 5528132 5405080
60 1000 100 5392793 5392634 5541117 5392634
61 1000 100 5405598 5404925 5554033 5404925
62 1000 100 5407060 5406326 5547382 5406326
63 1000 100 5382694 5382189 5543624 5382189
64 1000 100 5424324 5424113 5540848 5424113
65 1000 100 5409682 5409666 5548273 5409666
66 1000 100 5413817 5413805 5541718 5413805
67 1000 100 5419928 5419360 5542651 5419360
68 1000 100 5429127 5428715 5547303 5428715
69 1000 100 5399617 5398908 5518455 5398967
70 1000 100 5399601 5399349 5538581 5399349
71 1000 100 5400149 5399840 5532039 5399840
72 1000 100 5378727 5378299 5522735 5378299
73 1000 100 5407336 5405906 5540559 5405906
74 1000 100 5411569 5411316 5527093 5411316
75 1000 100 5414170 5413457 5535197 5413457
76 1000 100 5403386 5402686 5542382 5402686
77 1000 100 5405958 5405762 5528796 5405762
78 1000 100 5396262 5395560 5545037 5395560
79 1000 100 5423530 5423394 5547934 5423394
80 1000 100 5380504 5380086 5531395 5380086
81 1000 100 5413868 5413671 5558481 5413671
82 1000 100 5391295 5391235 5533255 5391235
83 1000 100 5395881 5394613 5542962 5394613
84 1000 100 5398086 5397736 5527620 5397736
85 1000 100 5391080 5390412 5532564 5390412
86 1000 100 5375793 5375315 5527127 5375314
87 1000 100 5391351 5390626 5542919 5390626
88 1000 100 5391400 5390859 5523168 5390859
89 1000 100 5403547 5403094 5537145 5403094
90 1000 100 5395421 5395409 5549512 5395409
91 1000 100 5404731 5404461 5529444 5404461
92 1000 100 5420864 5420426 5544548 5420426
93 1000 100 5399862 5399045 5539746 5399032
94 1000 100 5367681 5367370 5535759 5367370
95 1000 100 5416208 5415655 5541906 5415655
96 1000 100 5408727 5408727 5540699 5408727
97 1000 100 5391297 5390807 5530620 5390807
98 1000 100 5410397 5409726 5535222 5409726
99 1000 100 5401073 5400089 5546901 5400089
0 1000 300 48452982 48451719 50242256 48451719
1 1000 300 48536576 48534587 50234800 48534426
2 1000 300 48489197 48487805 50252572 48487807
3 1000 300 48526843 48525224 50263397 48525224
4 1000 300 48470736 48468637 50236032 48468845
5 1000 300 48492901 48491193 50251891 48491764
6 1000 300 48373855 48371872 50083975 48371717
7 1000 300 48523268 48520265 50117840 48520325
8 1000 300 48512099 48510601 50228128 48510687
9 1000 300 48373240 48371900 50130101 48372087
10 1000 300 48602423 48600762 50238303 48600869
11 1000 300 48483706 48481334 50105737 48481334
12 1000 300 48561659 48558593 50158724 48558593
13 1000 300 48570257 48568589 50189910 48568589
14 1000 300 48476902 48476763 50154715 48475978
15 1000 300 48518442 48518442 50159656 48517021
16 1000 300 48506941 48504999 50199619 48505078
17 1000 300 48501952 48500575 50200726 48500575
18 1000 300 48422690 48421018 50175397 48419961
19 1000 300 48633933 48631250 50193931 48631321
20 1000 300 48498361 48494525 50151139 48494474
21 1000 300 48483927 48481160 50175622 48481086
22 1000 300 48455310 48454259 50071089 48454152
23 1000 300 48513623 48513371 50231731 48512985
24 1000 300 48547498 48547498 50230932 48545429
25 1000 300 48542013 48540742 50165492 48540544
26 1000 300 48534133 48533816 50211242 48533816
27 1000 300 48487565 48486646 50171700 48486750
28 1000 300 48525094 48523790 50239193 48523790
29 1000 300 48523629 48520973 50205557 48520978
30 1000 300 48549690 48548547 50212264 48548547
31 1000 300 48566070 48563268 50223588 48563153
32 1000 300 48498396 48496828 50225427 48496877
33 1000 300 48418438 48417086 50105387 48416980
34 1000 300 48555653 48554287 50213557 48554271
35 1000 300 48503218 48499933 50181567 48499933
36 1000 300 48388158 48387349 50147719 48387349
37 1000 300 48451487 48450394 50234670 48450395
38 1000 300 48369068 48368117 50234313 48368117
39 1000 300 48407598 48406481 50121834 48406369
40 1000 300 48548207 48548207 50221638 48546846
41 1000 300 48519682 48518600 50193128 48518600
42 1000 300 48520476 48518417 50181764 48518417
43 1000 300 48496033 48494676 50170624 48494676
44 1000 300 48524201 48522282 50164762 48522282
45 1000 300 48457991 48456827 50182270 48456760
46 1000 300 48520514 48518984 50220607 48518984
47 1000 300 48546089 48544802 50184247 48544892
48 1000 300 48541924 48539545 50205741 48539021
49 1000 300 48560392 48559383 50155828 48558521
50 1000 300 48424544 48421606 50124025 48421606
51 1000 300 48498221 48496364 50174471 48496392
52 1000 300 48610445 48608725 50218442 48608733
53 1000 300 48481781 48480710 50130162 48480710
54 1000 300 48494803 48493120 50168207 48493120
55 1000 300 48508004 48506841 50236791 48506413
56 1000 300 48492410 48489657 50129402 48489770
57 1000 300 48504276 48502974 50185638 48502974
58 1000 300 48488559 48487961 50261925 48487677
59 1000 300 48398473 48397022 50154053 48397022
60 1000 300 48578931 48578229 50114463 48578229
61 1000 300 48432405 48431662 50133259 48430994
62 1000 300 48501887 48501144 50238088 48501144
63 1000 300 48475372 48473905 50237906 48473905
64 1000 300 48527481 48526121 50134829 48526121
65 1000 300 48522411 48519602 50192360 48519830
66 1000 300 48506275 48504728 50193707 48504679
67 1000 300 48555014 48553871 50190245 48553061
68 1000 300 48475286 48474444 50233180 48473836
69 1000 300 48457847 48457807 50129845 48456511
70 1000 300 48483989 48483989 50117456 48480607
71 1000 300 48467145 48466709 50147581 48465791
72 1000 300 48407101 48406054 50220194 48406054
73 1000 300 48564744 48564084 50207303 48564197
74 1000 300 48436572 48435259 50230539 48435273
75 1000 300 48500350 48498533 50219355 48498426
76 1000 300 48422307 48421545 50078625 48421551
77 1000 300 48459501 48459194 50084134 48459172
78 1000 300 48580132 48577520 50179291 48577520
79 1000 300 48461628 48459566 50196339 48459566
80 1000 300 48449067 48447250 50112409 48447190
81 1000 300 48506666 48503458 50223791 48503474
82 1000 300 48561351 48560423 50210051 48560423
83 1000 300 48585269 48584617 50209956 48584617
84 1000 300 48424823 48423371 50223457 48423371
85 1000 300 48562485 48561658 50220638 48561658
86 1000 300 48478673 48477431 50220546 48477431
87 1000 300 48428389 48428199 50169927 48428199
88 1000 300 48515293 48513246 50241970 48513163
89 1000 300 48534297 48531724 50229984 48531724
90 1000 300 48488424 48487574 50168393 48487550
91 1000 300 48548209 48545809 50137750 48545828
92 1000 300 48439942 48437774 50170184 48437774
93 1000 300 48468267 48467303 50219011 48467303
94 1000 300 48505532 48504883 50107853 48504810
95 1000 300 48498274 48497708 50110897 48497708
96 1000 300 48481696 48479510 50204530 48479510
97 1000 300 48441723 48441066 50227004 48441123
98 1000 300 48390597 48389055 50232484 48389015
