inst  m      l     greedy      mh          ag
93    500    300   23855519    23854039    25013957  
94    500    300   23786127    23784438    24947630  
95    500    300   23872204    23870083    24985312  
96    500    300   23748515    23748129    24990176  
97    500    300   23839776    23838655    24978735  
98    500    300   23750191    23749061    24955789  
99    500    300   23782444    23781572    24988898  
0     500    500   65997537    65994826    69639249
1     500    500   65963793    65962609    69600608
2     500    500   66025927    66024197    69676249
3     500    500   66135738    66133564    69569384
4     500    500   66046060    66044630    69622435
5     500    500   65948878    65946974    69565294
6     500    500   65828625    65827857    69645299
7     500    500   65963882    65960826    69659315
8     500    500   66044591    66040506    69709755
9     500    500   66119834    66117908    69654182
10    500    500   66127616    66125243    69510815
11    500    500   66150420    66146900    69634382
12    500    500   66219362    66218452    69669672
13    500    500   66019425    66018037    69472086
14    500    500   65988986    65988836    69552185
15    500    500   66142281    66139238    69585481
16    500    500   66114413    66113327    69588353
17    500    500   66038194    66037239    69584845
18    500    500   66068771    66067214    69655448
19    500    500   65833524    65832520    69585214
20    500    500   65981793    65979497    69830956
21    500    500   66076389    66073913    69578868
22    500    500   66240628    66237372    69635103
23    500    500   65851169    65847539    69637020
24    500    500   66152532    66150042    69566940
25    500    500   66114189    66110642    69545675
26    500    500   66030480    66028358    69561837
27    500    500   66090522    66088367    69538932
28    500    500   66209629    66207996    69691869
29    500    500   65948739    65947114    69635853
30    500    500   66099536    66098008    69595817
31    500    500   66056954    66054648    69554077
32    500    500   66013424    66009773    69640325
33    500    500   65968092    65965186    69773958
34    500    500   66082900    66081124    69650465
35    500    500   65935024    65931787    69619670
36    500    500   66021762    66017870    69539179
37    500    500   66081349    66078549    69585181
38    500    500   66169082    66167542    69550708
39    500    500   66137473    66135887    69507975
40    500    500   66041603    66039785    69394009
41    500    500   66204943    66202432    69552519
42    500    500   66096723    66094517    69719584
43    500    500   66166568    66163988    69538070
44    500    500   66150768    66147080    69676201
45    500    500   66154284    66152986    69677978
46    500    500   66119387    66116340    69493848
47    500    500   66038635    66036097    69701041
48    500    500   66127298    66124510    69748956
49    500    500   65958253    65955997    69661459
50    500    500   66136756    66135874    69686329
51    500    500   66118413    66116823    69517791
52    500    500   66055397    66052921    69424961
53    500    500   66151206    66148512    69578655
54    500    500   65965499    65962228    69638806
55    500    500   66150589    66149121    69738190
56    500    500   66120801    66118477    69536729
57    500    500   66129507    66126071    69540807
58    500    500   65973862    65971757    69624058
59    500    500   66169281    66164869    69533634
60    500    500   66186636    66182183    69667806
61    500    500   66211279    66209949    69681499
62    500    500   66202902    66201430    69515500
63    500    500   66008525    66006121    69543379
64    500    500   66128833    66124127    69637777
65    500    500   65968981    65967270    69663355
66    500    500   66103840    66102248    69616604
67    500    500   66224348    66221450    69707571
68    500    500   66116418    66114583    69544409
69    500    500   66003374    65998590    69547357
70    500    500   66037468    66034104    69652474
71    500    500   66140657    66139595    69733076
72    500    500   66144300    66141382    69563780
73    500    500   66168704    66165177    69534055
74    500    500   66178972    66177230    69515994
75    500    500   66096245    66092337    69586482
76    500    500   66094487    66093138    69542647
